tanglish,tamil
weetlaa ezhzharoom epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
seema poto brroo,செம படம் ப்ரோ.
vaazhkaaiyizh wethri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
rraailwaay sdadioon ebbo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nethhoo engaa bona,நேத்து எங்க போன?
ooyaram thhodu,உயரம் தொடு.
walkaeeyeel wethri peroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
soollege yepoo mootiyoom,கல்லூரி எப்போ முடியும்?
caabtion nalla irugu,கேப்ஷன் நல்லா இருக்கு.
kaataai soolu,கதை சொல்லு.
raizhway sdadion eeppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
threndeeng wideeo atoo,டிரெண்டிங் வீடியோ அது.
raeelway sdhaadhion yeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
uyirr naazhzhaa valoom,உயிர் நல்லா வாழும்.
raaizhwaay sdadion yeppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellarroom ebdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
coolege eppo muteeyum,கல்லூரி எப்போ முடியும்?
nambikai dhan elaam,நம்பிக்கை தான் எல்லாம்.
veethlaa yeelarum yeptee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdadioon yeppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellarroom yeptee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway staation yeepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
slaass yeppo yaaaaraambaam,வகுப்பு எப்போ ஆரம்பம்?
commeendh baanungaa maggale,கமெண்ட் பண்ணுங்க மக்களே.
raizhway sdadioon yeepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdhadhioon eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sarri aapprraam paarkazham,சரி அப்புறம் பார்க்கலாம்.
abba yeppoo waarrrraaaangaa,அப்பா எப்போ வர்றாங்க?
veeeetzha ellarrum yepdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
naazhaiku parkazham,நாளைக்கு பார்க்கலாம்.
veethlaa yellarroom epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nanpa eebdi eeruka,நண்பா எப்படி இருக்க?
veethla yellarrum ebdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
slass eebbo arampam,வகுப்பு எப்போ ஆரம்பம்?
naanpaa yepdi iruga,நண்பா எப்படி இருக்க?
vedhla yeelarum epti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
boos sthand yeenka irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veeeetzha ezhzharoom ebdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
slaass eppo yarampam,வகுப்பு எப்போ ஆரம்பம்?
sema phoodoo brroo,செம படம் ப்ரோ.
sthaathus paarrthiya,ஸ்டேட்டஸ் பார்த்தியா?
enagu puriyaazhaa,எனக்கு புரியல.
rombaa kaavaalaaiyaa eeruku,ரொம்ப கவலையா இருக்கு.
veepe naalaa iroogoo,வைப் நல்லா இருக்கு.
needhhu yenka poona,நேத்து எங்க போன?
veethla yelaarum yeptee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
assignment eludhitiyaa,அசைன்மென்ட் எழுதிட்டியா?
railway sdadioon epoo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
soomment banoonga maakaale,கமெண்ட் பண்ணுங்க மக்களே.
vedhla yellaarrum yepdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway sdadioon yeepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus staant enkaa iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
thanni wenoom,தண்ணி வேணும்.
offise poidhu vaaren,அலுவலகம் போயிட்டு வர்றேன்.
rraeelway sdadeeon eepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay staation ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
dhhangachee enka poona,தங்கச்சி எங்க போன?
veedduku yepoo wara,வீட்டுக்கு எப்போ வர?
offeese poithoo vaarrrren,அலுவலகம் போயிட்டு வர்றேன்.
rraeelway sdadeeon epoo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veedduku yepoo warra,வீட்டுக்கு எப்போ வர?
needhhu eenga pona,நேத்து எங்க போன?
taaaa,டா
innigoo weezhai iruku,இன்னைக்கு வேலை இருக்கு.
rraeelway stateeon yeepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
waazhgaaiyil veethri beruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
rraeelway sdadioon eepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nan nalla eerugen,நான் நல்லா இருக்கேன்
ooffice pooidhu varrrren,அலுவலகம் போயிட்டு வர்றேன்.
dhangachee engaa bonaa,தங்கச்சி எங்க போன?
rraailwaay sdadioon eepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus sthaand yenka irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pus staand yenkaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethlaa ellarrum yepdee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bayam yeen,பயம் ஏன்?
witla yelaarum epdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
thrending weedeo adhu,டிரெண்டிங் வீடியோ அது.
czhass eebbo aaaaraambaam,வகுப்பு எப்போ ஆரம்பம்?
rraailwaay sdadion eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yellaroom eebdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
thhangachi enga poona,தங்கச்சி எங்க போன?
nanpa yepdi irruka,நண்பா எப்படி இருக்க?
rraailwaay stateeon yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
aapaa epoo waarrrraaaangaa,அப்பா எப்போ வர்றாங்க?
solrren nazhzha ketooko,சொல்றேன் நல்லா கேட்டுக்கோ.
rraeelway sdhadhion eeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yaama adhoo taan,ஆமா அது தான்.
thrending wideeo aatu,டிரெண்டிங் வீடியோ அது.
soollege yebbo muteeyum,கல்லூரி எப்போ முடியும்?
widu wezhaai mudeenjadhu,வீட்டு வேலை முடிஞ்சது.
veetzha yeelarum yepdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
iniku vezhaee irugu,இன்னைக்கு வேலை இருக்கு.
solleegee eppoo mootiyoom,கல்லூரி எப்போ முடியும்?
vedhla yellaarrum yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vethla yellaarrum epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
wittugu yepo waaraa,வீட்டுக்கு எப்போ வர?
office poidoo vareen,அலுவலகம் போயிட்டு வர்றேன்.
raailwaay stateeon eepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa yellaarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nedhoo yenga ponaa,நேத்து எங்க போன?
veethla yellaarrum eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha yeelarum yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
asseegnmend yeludheeteeya,அசைன்மென்ட் எழுதிட்டியா?
railway sdadioon eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
eenneegu vezhaai eeruku,இன்னைக்கு வேலை இருக்கு.
yepti irookinka,எப்படி இருக்கீங்க?
veebe naazhzhaa irugu,வைப் நல்லா இருக்கு.
raailwaay sdadion yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraailwaay sdhadhion ebbo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha ezhzharoom epdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yaaaamaa yadhoo dhaaaan,ஆமா அது தான்.
thani weenum,தண்ணி வேணும்.
treending videeo aadhu,டிரெண்டிங் வீடியோ அது.
rraailwaay staation yeppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus sdaand enka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
projecth reaaty baanraa,புராஜெக்ட் ரெடி பண்றா.
innikoo naallaa naazh,இன்னைக்கு நல்ல நாள்.
raailwaay stateeon epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veeeetzha yelaarum epti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vidhdhuku yebo varra,வீட்டுக்கு எப்போ வர?
thangachee yenka boona,தங்கச்சி எங்க போன?
yooruku poriyaa,ஊருக்கு போறியா?
eena paanrraa,என்ன பண்ற?
rraailwaay sdadion epoo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
trenting videeo yaatu,டிரெண்டிங் வீடியோ அது.
veeeetzha ellarrum epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay stateeon eppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
commend banoonga maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
coomment banunga maakkaale,கமெண்ட் பண்ணுங்க மக்களே.
raizhway sdadeeon epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
boos staant yeenka iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raailwaay stateeon epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
poos stant yeenga eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weedu velai mutinjaatu,வீட்டு வேலை முடிஞ்சது.
raeelway sdadeeon yeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdadioon epoo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
office poeedu vaaren,அலுவலகம் போயிட்டு வர்றேன்.
rraailwaay sdhaadhion ebbo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weetlaa ezhzharoom yepdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdhadhioon eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sarree apram paarrkalam,சரி அப்புறம் பார்க்கலாம்.
raizhway sdhaadhion eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
solren nala getugoo,சொல்றேன் நல்லா கேட்டுக்கோ.
weebe nalla irugu,வைப் நல்லா இருக்கு.
unagu purriyudha,உனக்கு புரியுதா?
vedhla yeelarum epti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus stant yenka eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
kaataaiyilaa vaangu,கடையில வாங்கு.
thangachee yeenka bonaa,தங்கச்சி எங்க போன?
eeneeku veezhai irookoo,இன்னைக்கு வேலை இருக்கு.
raizhway sdadeeon epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus sdhand engaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
eexam sema thooogh,தேர்வு செம கடினம்.
sozhreen nazhzha kedooko,சொல்றேன் நல்லா கேட்டுக்கோ.
solrreen naazhzhaa ketooko,சொல்றேன் நல்லா கேட்டுக்கோ.
railway sdadioon ebbo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
projecd reaty paanraa,புராஜெக்ட் ரெடி பண்றா.
captheeon naalaa irrookoo,கேப்ஷன் நல்லா இருக்கு.
rombaa kaavaazhaaiyaa irruku,ரொம்ப கவலையா இருக்கு.
vedhla yellaroom yepdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla ellarrum ebdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raizhway sdadeeon yepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
exam semaa toough,தேர்வு செம கடினம்.
aammaa saapatu readyaa,அம்மா சாப்பாடு ரெடியா?
vedhla yelaarum yepdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos sdaand yeenka irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
sari yapprram parkalam,சரி அப்புறம் பார்க்கலாம்.
coomment banunga makkazhee,கமெண்ட் பண்ணுங்க மக்களே.
sarri apprram paaaarkaazhaam,சரி அப்புறம் பார்க்கலாம்.
captioon naallaa irugu,கேப்ஷன் நல்லா இருக்கு.
raeezhway staation epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
weeeedu weezhai mutinjatu,வீட்டு வேலை முடிஞ்சது.
raizhway sdhadhioon epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdadeeon ebbo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
taangaachi yengaa pona,தங்கச்சி எங்க போன?
ooyirr naazhzhaa valum,உயிர் நல்லா வாழும்.
romba kavazhaiya irrookoo,ரொம்ப கவலையா இருக்கு.
railway sdadeeon eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
irrooka,இருக்க
raizhway sdhadhioon epoo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus sthand engaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
boos sdhaand yeenga iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vipee naazhzhaa irugu,வைப் நல்லா இருக்கு.
veetzha yelaarum epdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rromba kavalaeeya irookoo,ரொம்ப கவலையா இருக்கு.
veeeetzha yeelarum yepdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway staation yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
offeese poidhu varren,அலுவலகம் போயிட்டு வர்றேன்.
veethla yellaarrum yeptee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
commend panunka makkale,கமெண்ட் பண்ணுங்க மக்களே.
thrending viteeo aatu,டிரெண்டிங் வீடியோ அது.
rraailwaay sdhaadhion yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
soozhren naalaa keedhuko,சொல்றேன் நல்லா கேட்டுக்கோ.
yakkavookoo kaalyaanaam,அக்காவுக்கு கல்யாணம்.
illaa illaai,இல்ல இல்லை.
nethhoo eenga ponaa,நேத்து எங்க போன?
walkaeeyeel vethri peroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
iniku sema vipee,இன்னைக்கு செம வைப்.
yoffeece poidoo varren,அலுவலகம் போயிட்டு வர்றேன்.
roomba saandhosaam,ரொம்ப சந்தோஷம்.
veeeetzha yelaarum yeepti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
wibe naalaa irruku,வைப் நல்லா இருக்கு.
rrombaa gavalaiya irruku,ரொம்ப கவலையா இருக்கு.
railway sdadion eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rombaa nandree,ரொம்ப நன்றி
soollege eppo muteeyum,கல்லூரி எப்போ முடியும்?
eella eezhzhaee,இல்ல இல்லை.
nedhoo yenkaa poona,நேத்து எங்க போன?
naanpaa yeepti eerruka,நண்பா எப்படி இருக்க?
veethlaa yellaroom yeptee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
colege yeeppo mudiyum,கல்லூரி எப்போ முடியும்?
rromba gaavaalaaiyaa irugu,ரொம்ப கவலையா இருக்கு.
boos sthand engaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raeelway sdadioon yepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdadion yeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
baank obena,வங்கி திறந்திருக்கா?
rraailwaay sdhadhion ebbo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethlaa yelaarum eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
eeneeku veezhai eeruku,இன்னைக்கு வேலை இருக்கு.
apa yepoo waarraaaangaa,அப்பா எப்போ வர்றாங்க?
eenneegu veelai iruku,இன்னைக்கு வேலை இருக்கு.
weetlaa yelaarum yeptee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus staant yeenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raeezhway sdhaadhion eeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdhadhioon ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bang yopeenaa,வங்கி திறந்திருக்கா?
irukiyaa,இருக்கியா
boos stant engaa eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
boos staant yengaa irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
caabtion naalaa irugu,கேப்ஷன் நல்லா இருக்கு.
veethlaa ellarrum ebdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
coommenth paanungaa maakkaazhe,கமெண்ட் பண்ணுங்க மக்களே.
wethu weezhai mutinjatu,வீட்டு வேலை முடிஞ்சது.
yooffise poidoo warren,அலுவலகம் போயிட்டு வர்றேன்.
veeeetzha ezhzharoom epdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vazhkaeeyeezh wedri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
bus sthaand yenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
neethhu yenkaa bona,நேத்து எங்க போன?
yassiknmeent eezhudhithiya,அசைன்மென்ட் எழுதிட்டியா?
needhhu enga boona,நேத்து எங்க போன?
veetzha yellarrum yeepti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
boos staant yeenka eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vethla yellarroom yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdadioon epoo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraeelway sdadeeon eepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yeebdi irugaa,எப்படி இருக்க?
veedduku epoo warra,வீட்டுக்கு எப்போ வர?
roomba kaavaazhaaiyaa iruku,ரொம்ப கவலையா இருக்கு.
railway stateeon ebbo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla ellarrum yeptee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
solrren nazhzha getugo,சொல்றேன் நல்லா கேட்டுக்கோ.
boos staant yeenga eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weedu wezhai mootinjatoo,வீட்டு வேலை முடிஞ்சது.
eenneegu weezhai irookoo,இன்னைக்கு வேலை இருக்கு.
solrreen nazhzha kedooko,சொல்றேன் நல்லா கேட்டுக்கோ.
weetoo velaee mootinjatoo,வீட்டு வேலை முடிஞ்சது.
poos staant yengaa iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
rompaa sandhoosham,ரொம்ப சந்தோஷம்.
naan nazhzha eerugen,நான் நல்லா இருக்கேன்
veethla yelaarum eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
weetlaa yeelarum yepdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
trendeenk veeteo atu,டிரெண்டிங் வீடியோ அது.
vethla yellarrum ebdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
frrieendu sall panrran,பிரெண்டு கால் பண்றான்.
widhu veelai mutinjatu,வீட்டு வேலை முடிஞ்சது.
waazhgaaiyil wedri peruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
bus staand enkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
rraeelway sdadeeon yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
railway sdadeeon eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
offise poithoo varren,அலுவலகம் போயிட்டு வர்றேன்.
veethla ezhzharoom yeptee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraeelway staation yeepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nambigai dhaaaan elaam,நம்பிக்கை தான் எல்லாம்.
raeezhway sdadion yeepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
saarri,சரி
serriyaa,சரியா
threndeeng viteeo adhu,டிரெண்டிங் வீடியோ அது.
slaass yeppo aarampam,வகுப்பு எப்போ ஆரம்பம்?
aapaa eepo waarraaaangaa,அப்பா எப்போ வர்றாங்க?
dhhanni wenoom,தண்ணி வேணும்.
nethu enga boona,நேத்து எங்க போன?
solreen naalaa kedooko,சொல்றேன் நல்லா கேட்டுக்கோ.
yexam seema thooogh,தேர்வு செம கடினம்.
rraailwaay sdhadhion eeppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vedhla ellarrum yepdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
widduku ebo waaraa,வீட்டுக்கு எப்போ வர?
vittugu yeebo waarraa,வீட்டுக்கு எப்போ வர?
bus stant yenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pallee goooodam boonoom,பள்ளி கூடம் போனோம்.
drendeeng videeo adhoo,டிரெண்டிங் வீடியோ அது.
commeendh paanunkaa makkazhee,கமெண்ட் பண்ணுங்க மக்களே.
nanba epdi irooka,நண்பா எப்படி இருக்க?
slaass eebbo yarampam,வகுப்பு எப்போ ஆரம்பம்?
yeepti irruka,எப்படி இருக்க?
boos sthaand enka irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raaizhwaay stateeon ebbo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
trendeenk viteoo yaatu,டிரெண்டிங் வீடியோ அது.
solreen nalla keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
office poidhoo vaarrrren,அலுவலகம் போயிட்டு வர்றேன்.
dhangachee yeenka bonaa,தங்கச்சி எங்க போன?
raeezhway sdadion eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veetzha yellarroom yepdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha ezhzharoom yeepti irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vipee nalla eerruku,வைப் நல்லா இருக்கு.
veeeetzha yellarrum yeepti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
pus staant yengaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vethla yellaarrum yepdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdadeeon eppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdadion eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yooruku poreeya,ஊருக்கு போறியா?
ooyirr naalaa waalum,உயிர் நல்லா வாழும்.
vedhla yelaarum yeepti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethla ezhzharoom yeptee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha ezhzharoom yepdi irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdadion yepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
innigu veezhai eerugu,இன்னைக்கு வேலை இருக்கு.
yeena panrringa,என்ன பண்றீங்க?
vethla ezhzharoom epdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
nedhu yenga poona,நேத்து எங்க போன?
rraeelway sdhaadhion yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraailwaay sdadioon epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
wazhkaeeyeezh wethri perroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
neethhu enga bona,நேத்து எங்க போன?
solrren naallaa keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
vedhla ellarrum epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
coomment paanunkaa maakaale,கமெண்ட் பண்ணுங்க மக்களே.
vipe naallaa irrookoo,வைப் நல்லா இருக்கு.
frreeendu saall baanraan,பிரெண்டு கால் பண்றான்.
eepti irookinka,எப்படி இருக்கீங்க?
walkaeeyeel veethri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
vaazhkaaiyizh weedhri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
raailwaay sdhadhioon eepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla ezhzharoom epdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
garunai kaadoongal,கருணை காட்டுங்கள்.
innigoo semaa vipe,இன்னைக்கு செம வைப்.
innigoo velaee irookoo,இன்னைக்கு வேலை இருக்கு.
weeeedu velaee mutinjatu,வீட்டு வேலை முடிஞ்சது.
cabteeon nalla irugu,கேப்ஷன் நல்லா இருக்கு.
vedhla yellarrum yeepti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
ebdee irooka,எப்படி இருக்க?
raaizhwaay sdhaadhion yeepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yoffeece poeethu waarrrren,அலுவலகம் போயிட்டு வர்றேன்.
rromba kavazhaiya eerruku,ரொம்ப கவலையா இருக்கு.
eeneeku naazhzhaa naaaazh,இன்னைக்கு நல்ல நாள்.
uyaram totoo,உயரம் தொடு.
bus staand yeenka irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
wazhkaiyizh weedhri beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
urraveenarrgal vaandhaaaankaa,உறவினர்கள் வந்தாங்க.
veethlaa ezhzharoom yepdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vaazhkaaiyizh weethri beruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
naanbaa eptee irooka,நண்பா எப்படி இருக்க?
inikoo veezhai irugu,இன்னைக்கு வேலை இருக்கு.
appa eeppo warraanga,அப்பா எப்போ வர்றாங்க?
trendink witeoo aadhu,டிரெண்டிங் வீடியோ அது.
wibe paandrom,வைப் பண்றோம்.
illaa izhzhaai,இல்ல இல்லை.
bus staant yenkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
rompa kaavaalaaiyaa iruku,ரொம்ப கவலையா இருக்கு.
veepe nazhzha iroogoo,வைப் நல்லா இருக்கு.
ennaa paanrinkaa,என்ன பண்றீங்க?
tii,டி
raizhway stateeon yeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
balli goodam boonoom,பள்ளி கூடம் போனோம்.
sozhren naalaa keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
eeneeku nazhzha naazh,இன்னைக்கு நல்ல நாள்.
eenneeku veezhai irookoo,இன்னைக்கு வேலை இருக்கு.
cabteeon nalla eerugu,கேப்ஷன் நல்லா இருக்கு.
threndeeng viteeo adhoo,டிரெண்டிங் வீடியோ அது.
veetzha yellaroom yepdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vethla yellaarrum ebdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
